,Total Asset,Total Liabilities,Paid-up Cap,Equity,Revenue,Expenses,EBITDA,EBIT,EPS,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow,Return on Equity,Return on Asset,Gross Profit Margin,Net Profit Margin,EBIT Margin,D/E,Int. Coverage,Current Ratio,Quick Ratio,Fixed Asset,Total Asset.1,Inventory Turnover,Average Sale Period,Accounts Receivable Turnover,Average Collection Period,Account Payable Turnover,Average Payment Period,Cash Cycle,result
284,530362.92,234914.58,326543.58,278621.54,42269.32,80173.79,-43404.16,-46771.2,-0.01,47623.08,-110783.07,33994.98,-29165.01,-15.62,-8.99,14.99,-115.39,-110.65,0.8,-23.83,0.26,0.12,2.48,0.08,0.93,392.0,1.42,256.89,0.62,586.75,62.15,0
302,2001410.51,1308053.52,641469.42,693356.99,198203.94,254627.02,-44241.42,-56423.08,-0.07,114380.07,-7265.45,-47477.75,59636.88,-6.26,-3.03,19.47,-22.61,-28.47,1.89,-13.96,3.61,0.3,21.39,0.11,0.09,3907.88,502.66,0.73,3.29,111.07,3797.54,0
29,3117268.56,442129.02,1164401.07,2612283.68,311891.07,670968.98,-476966.35,-497999.97,-0.06,36284.26,9058.63,-219452.07,-174109.17,-18.0,-14.19,55.88,-167.17,-159.67,0.17,-46.03,5.76,0.79,5.13,0.09,0.12,3100.28,0.75,485.76,154.09,2.37,3583.67,0
369,1412244.35,526019.87,107625.0,886224.48,2075546.85,1878225.75,243345.82,197321.1,1.47,204995.95,3416.72,-41180.32,167232.35,19.08,14.82,27.9,7.62,9.51,0.59,247.83,2.31,1.71,5.2,1.56,5.92,61.7,6.1,59.84,3.92,93.07,28.47,1
190,1320561.2,734039.08,149993.67,586522.12,2040177.61,1982061.28,95004.02,57204.48,0.02,-4934.19,-21188.58,22162.71,-3960.06,1.48,4.4,21.49,0.46,2.8,1.25,9.91,1.35,0.61,5.88,1.57,3.62,100.73,5.53,66.05,6.87,53.11,113.67,1
328,2426585.0,1382902.0,338350.0,994607.0,1733432.0,1870126.0,-84953.0,-136419.0,-0.19,-98595.0,-325966.0,425436.0,875.0,-12.11,-5.85,2.02,-7.7,-7.87,1.33,-11.76,1.31,0.83,5.18,0.74,9.85,37.07,3.28,111.36,6.14,59.48,88.95,0
230,5543566.55,2900787.26,1000000.0,2642779.3,1210567.75,1099815.69,140825.35,110752.07,0.06,-188939.69,-176026.52,337188.71,-27777.5,2.27,2.06,37.51,4.92,9.15,1.1,4.64,2.34,0.08,6.81,0.23,0.22,1671.0,11.21,32.56,2.23,163.74,1539.83,1
460,358683.98,193011.19,100000.0,166079.75,334416.13,295050.3,51249.4,39354.83,0.15,-37351.88,5339.34,4853.0,-27159.55,19.88,11.46,32.55,8.91,11.77,1.17,17.24,1.74,1.61,4.0,0.97,37.57,9.72,1.95,186.91,2.32,157.25,39.38,1
347,1113994.98,649339.01,100000.0,476438.33,332473.45,284507.12,80260.0,47966.33,0.19,38342.18,-55919.11,13938.25,-3638.68,4.15,4.43,30.92,5.35,14.43,1.4,1.66,0.41,0.22,0.57,0.31,41.34,8.83,2.91,125.44,45.05,8.1,126.17,1
491,4764917.59,3281916.89,268840.66,1467133.2,3971868.77,3793511.5,329533.27,307161.56,0.43,-1638774.7,-230786.29,1857214.27,-12346.72,17.26,7.73,11.39,5.63,7.73,2.21,5.08,1.04,0.46,32.22,1.0,3.45,105.84,5.28,69.16,2.67,136.62,38.38,1
408,5196586.18,2586191.49,1000000.0,2610394.7,1429291.6,1325364.54,130229.57,103927.06,0.02,139484.03,40249.45,-236498.27,-56764.79,0.92,1.99,38.56,1.69,7.27,0.99,1.87,2.78,0.14,6.48,0.27,0.25,1466.65,16.66,21.9,2.89,126.27,1362.29,1
307,1235282.75,430914.44,200811.61,804368.31,503686.12,586003.46,57142.14,-82317.35,-0.39,34025.68,-98126.16,55746.28,-8354.2,-9.29,-6.75,2.13,-15.56,-16.34,0.54,-5.69,0.91,0.82,0.5,0.41,28.33,12.88,25.33,14.41,8.32,43.86,-16.57,0
364,1460956.14,956239.61,150000.0,450971.23,2293705.46,2163433.08,151900.9,129939.25,0.3,42081.36,-117400.14,99686.57,24367.79,20.14,9.91,18.17,4.62,5.67,1.89,25.82,1.14,1.13,72.67,1.75,123.1,2.97,3.57,102.13,3.1,117.61,-12.52,1
179,675633.98,74021.67,200007.52,600229.09,313101.76,320860.79,6529.96,-7759.03,-0.01,2693.26,33624.67,-26212.36,10105.58,-1.61,-1.09,25.83,-3.09,-2.48,0.12,-6.69,3.9,3.32,0.81,0.44,6.3,57.91,6.21,58.81,5.76,63.42,53.3,0
