symbol,Total Asset,Total Liabilities,Paid-up Cap,Equity,Revenue,Expenses,EBITDA,EBIT,Net Profit,EPS,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow,Return on Equity,Return on Asset,Gross Profit Margin,Net Profit Margin,EBIT Margin,D/E,Int. Coverage,Current Ratio,Quick Ratio,Fixed Asset,Total Asset,Inventory Turnover,Average Sale Period,Accounts Receivable Turnover,Average Collection Period,Account Payable Turnover,Average Payment Period,Cash Cycle
PTC,"862,782.51","18,957.24","205,000.00","843,825.27","198,830.99","93,849.64","130,888.27","104,981.36","83,719.71",0.21,"117,171.04","-21,802.40","175,095.07","270,463.71",13.12,14.33,69.94,42.11,52.8,0.02,92.51,23.77,23.55,0.4,0.27,N/A,-,5.22,69.94,21.61,16.89,53.05
QLT,"523,815.83","80,636.44","98,568.49","437,763.11","457,673.92","433,463.25","42,799.77","20,099.41","17,856.19",0.18,"40,761.96","-32,657.05","-13,741.26","-5,636.34",4.1,3.9,29.21,3.93,4.39,0.18,27.59,3.72,2.5,2.75,0.89,35.28,10.35,5.09,71.78,7.84,46.57,35.55
RP,"1,171,470.74","538,235.52","200,811.61","633,235.22","534,191.20","613,086.59","24,330.97","-78,895.39","-74,898.30",-0.37,"32,285.50","-99,638.24","25,557.33","-41,795.42",-11.17,-6.67,-1.04,-14.02,-14.77,0.85,-4.53,0.45,0.33,0.52,0.45,33.62,10.86,29.89,12.21,9.81,37.19,-14.13
RWI,"1,352,887.52","240,996.08","457,638.14","1,111,891.44","960,465.57","1,169,554.21","-179,568.98","-209,088.64","-222,024.56",-0.24,"-37,790.42","118,712.29","-171,644.43","-90,722.56",-17.88,-13.42,-0.47,-23.12,-21.77,0.22,-15.81,10.78,8.72,3.08,0.62,4.94,73.93,3.48,104.74,30.75,11.87,166.79
SAAM,"511,897.52","143,297.17","150,003.08","368,596.86","125,993.16","47,340.66","89,045.14","79,060.18","72,284.68",0.24,"29,517.80","46,019.26","-30,620.52","44,916.54",21.44,16.8,73.36,57.37,62.75,0.39,31.79,2.55,2.41,0.9,0.27,2.48,147.03,8.37,43.62,0.97,376.32,-185.67
SALEE,"1,969,861.77","317,335.19","380,121.02","1,305,219.22","1,599,923.89","1,468,725.63","272,770.79","131,198.26","114,461.09",0.08,"278,581.48","-59,081.49","-115,367.29","104,132.70",9.04,6.71,23.53,6.02,8.2,0.19,30.49,3.68,2.84,1.9,0.82,5.75,63.53,4.58,79.77,6.69,54.52,88.78
SANKO,"513,665.69","305,246.43","158,331.12","208,419.25","717,658.52","689,097.96","61,383.91","28,560.56","21,802.44",0.07,"80,124.38","-39,897.15","-44,094.78","-3,867.55",11.03,5.63,13.47,3.04,3.98,1.46,4.07,1.03,0.61,2.76,1.42,7.72,47.3,5.99,60.93,5.55,65.77,42.46
SE,"557,127.48","157,331.75","327,594.26","396,171.18","611,698.39","557,252.97","89,049.94","81,104.12","66,751.96",0.1,"73,053.35","-5,823.38","-27,512.72","39,717.26",18.36,15.52,27.72,11.2,13.26,0.39,43.67,2.52,1.83,8.53,1.17,6.24,58.53,6.18,59.03,4.65,78.46,39.1
SEAOIL,"3,564,152.00","1,442,884.00","692,798.00","2,097,537.00","21,685,622.00","21,678,302.00","494,252.00","467,116.00","440,597.00",0.64,"-108,315.00","336,541.00","-183,734.00","44,492.00",23.53,14.03,1.69,2.08,2.15,0.68,21.03,1.69,1.45,333.56,6.51,"3,557.72",0.1,14.38,25.39,20.43,17.86,7.62
SECURE,"811,871.44","199,828.85","51,370.50","612,042.59","897,197.19","836,696.79","80,817.22","68,532.87","55,061.82",0.54,"25,609.22","-7,778.70","-22,567.16","-4,736.65",9.29,8.86,16.23,6.14,7.64,0.33,83.06,4.26,4.06,27.48,1.16,30.55,11.95,4.22,86.49,5.85,62.35,36.09
