symbol,Total Asset,Total Liabilities,Paid-up Cap,Equity,Revenue,Expenses,EBITDA,EBIT,Net Profit,EPS,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow,Return on Equity,Return on Asset,Gross Profit Margin,Net Profit Margin,EBIT Margin,D/E,Int. Coverage,Current Ratio,Quick Ratio,Fixed Asset,Total Asset,Inventory Turnover,Average Sale Period,Accounts Receivable Turnover,Average Collection Period,Account Payable Turnover,Average Payment Period,Cash Cycle
TQR,"595,323.54","98,519.31","115,000.00","495,436.85","243,495.57","119,758.95","131,547.18","123,736.62","98,226.45",0.43,"90,109.24","-103,986.02","-70,759.59","-84,636.38",20.61,21.66,76.05,40.36,50.82,0.2,177.95,7.58,5.85,15.41,0.43,N/A,-,N/A,-,1.42,256.94,-256.94
TRT,"2,825,951.97","1,839,134.81","308,008.27","1,016,075.34","1,719,573.79","1,779,667.29","16,052.08","-61,257.56","-92,085.38",-0.3,"-27,360.71","-111,460.14","145,657.83","6,836.98",-8.52,-2.17,11.25,-5.52,-3.56,1.86,-1.37,1.26,0.58,1.91,0.61,1.88,194.45,2.91,125.28,5.95,61.33,258.41
TRV,"372,524.19","57,837.51","105,000.00","314,686.48","218,968.83","153,518.94","77,772.89","65,449.89","50,650.63",0.24,"29,210.93","88,331.34","-46,966.09","70,576.18",16.49,17.7,32.23,23.13,29.89,0.18,44.62,6.15,5.79,1.52,0.59,8.65,42.21,4.92,74.15,4.94,73.89,42.47
TURTLE,"4,439,144.25","249,426.10","1,589,549.29","4,189,717.90","276,478.45","465,868.24","-151,415.39","-189,420.26","-181,578.63",-0.17,"-120,478.00","-1,189,458.36","3,949,939.73","2,640,003.37",-8.02,-7.67,-12.27,-65.68,-68.51,0.06,22.75,20.02,14.47,1.95,0.11,9.8,37.24,3.3,110.44,2.87,127.35,20.33
TVDH,"1,972,384.89","989,949.63","855,799.07","1,004,648.04","2,146,952.41","2,621,925.79","-291,441.83","-474,687.44","-348,605.41",-0.23,"-184,671.66","-320,107.80","808,110.71","303,331.26",-45.02,-28.32,43.58,-18.44,-22.11,1.01,-31.17,1,0.65,4.3,1.28,5.12,71.36,12.31,29.65,3.83,95.19,5.82
TVT,"675,633.98","74,021.67","200,007.52","600,229.09","313,101.76","320,860.79","6,529.96","-7,759.03","-9,917.44",-0.01,"2,693.26","33,624.67","-26,212.36","10,105.58",-1.61,-1.09,25.83,-3.09,-2.48,0.12,-6.69,3.9,3.32,0.81,0.44,6.3,57.91,6.21,58.81,5.76,63.42,53.3
UBA,"806,847.78","246,167.64","300,000.00","560,680.14","664,058.01","571,866.48","95,479.45","92,191.54","68,010.44",0.15,"90,324.35","-2,919.89","217,779.67","305,184.13",16.92,13.59,19.38,10.24,13.88,0.44,12.43,4.03,3.15,51.98,0.98,47.26,7.72,2.76,132.4,7.29,50.1,90.03
UBIS,"1,220,208.00","514,010.00","285,000.00","706,198.00","1,048,379.00","1,051,039.00","12,755.00","-7,911.00","-20,113.00",-0.07,"-83,833.00","-31,217.00","330,307.00","215,257.00",-3.34,-0.72,20.92,-1.92,-0.75,0.73,-1.26,2.01,1.31,3.55,0.95,2.86,127.63,3.05,119.48,5.54,65.86,181.24
UEC,"1,438,139.79","199,262.69","142,627.65","1,238,877.11","710,801.68","725,874.47","25,637.79","-15,429.19","-14,257.40",-0.02,"-102,881.33","-4,892.59","-52,059.90","-159,833.83",-1.12,-1.09,16.77,-2.01,-2.17,0.16,-40.88,6.62,4.24,1.41,0.5,4.74,76.93,5,72.93,7.24,50.4,99.46
UKEM,"2,051,708.54","1,041,421.55","290,513.06","832,440.73","3,077,696.64","3,112,184.04","-14,176.10","-58,923.08","-71,035.37",-0.06,"155,805.44","-73,976.04","-145,858.86","-64,029.46",-7.62,-2.7,7.45,-2.4,-1.91,1.03,-4.76,1.91,0.94,16.86,1.41,5.85,62.43,3.82,95.58,9.06,40.28,117.73
UMS,"778,267.38","676,028.05","572,599.80","102,239.34","366,875.76","440,301.30","-11,186.17","-47,821.55","-71,650.02",-0.06,"38,961.00","-177,232.37","151,244.38","12,973.00",-51.9,-6.67,8.98,-19.53,-13.03,6.61,-2.01,0.17,0.11,0.9,0.51,34.16,10.68,7.39,49.41,12.11,30.15,29.94
UREKA,"1,691,847.85","363,519.35","441,384.70","1,326,245.11","298,495.11","188,022.95","129,013.72","110,472.16","72,463.34",0.05,"94,084.09","-750,199.34","600,570.65","-55,544.60",6.95,7.93,53.35,23.75,37.01,0.27,2.9,1.62,1.14,0.35,0.21,12.82,28.47,3.41,106.99,1.25,292.02,-156.56
VCOM,"1,446,118.84","808,170.53","153,502.60","585,465.32","2,042,170.31","1,866,948.94","198,852.64","173,845.61","111,909.18",0.36,"143,165.13","10,806.45","-109,443.01","44,528.58",19.52,12.73,20.12,6.71,8.51,1.27,19.06,1.38,1.23,39.54,1.5,81.57,4.47,3.59,101.81,4.55,80.2,26.08
VL,"1,882,096.41","944,269.02","538,995.23","937,827.39","729,489.33","667,368.81","178,574.69","62,120.52","23,332.05",0.02,"201,864.13","-23,134.75","-163,549.23","15,180.15",2.55,3.24,15.88,3.2,8.52,1.01,1.76,1.63,1.1,0.48,0.38,25.19,14.49,8.82,41.36,9.72,37.56,18.29
WARRIX,"1,878,872.63","438,380.05","300,000.00","1,440,492.58","1,074,622.02","906,431.96","196,554.10","168,190.06","128,489.48",0.35,"49,375.44","-256,364.81","726,101.40","519,112.03",15.9,12.81,46.27,11.96,15.65,0.3,10.24,3.7,2.47,10.37,0.82,1.44,253.29,4.43,82.35,2.47,147.94,187.71
WINMED,"848,243.42","253,322.08","200,000.00","594,921.34","721,626.34","645,228.99","117,185.35","76,397.34","60,669.82",0.15,"-74,514.16","-49,738.98","69,452.27","-54,800.87",10.4,9.53,37.23,8.41,10.59,0.43,11.11,2.8,1.6,2.65,0.9,5.63,64.8,3.68,99.06,6.17,59.18,104.68
WINNER,"1,320,561.20","734,039.08","149,993.67","586,522.12","2,040,177.61","1,982,061.28","95,004.02","57,204.48","9,403.64",0.02,"-4,934.19","-21,188.58","22,162.71","-3,960.06",1.48,4.4,21.49,0.46,2.8,1.25,9.91,1.35,0.61,5.88,1.57,3.62,100.73,5.53,66.05,6.87,53.11,113.67
XO,"1,569,634.61","331,131.03","212,803.69","1,238,503.57","1,480,371.69","1,112,502.12","415,578.13","355,816.96","340,157.68",0.8,"464,317.97","-200,585.40","-160,577.71","103,154.85",28.67,24.2,41.35,22.98,24.04,0.27,170.72,3.15,1.31,2.14,1.01,6.83,53.46,18.14,20.12,9.88,36.95,36.63
YGG,"641,769.95","46,040.22","300,998.59","595,729.72","336,899.41","208,336.16","142,604.77","124,190.67","122,129.38",0.24,"34,392.74","-95,422.93","58,538.33","-2,491.87",24.24,22.66,46.37,36.25,36.86,0.08,393.38,10.05,4.91,5.29,0.61,N/A,-,15.28,23.88,9.95,36.7,-12.82
YONG,"1,333,333.32","497,446.20","340,000.00","835,887.12","1,030,200.42","894,056.03","196,569.07","136,144.39","100,980.24",0.17,"161,939.18","-102,765.40","60,312.98","119,486.76",15.91,11.18,29.62,9.8,13.22,0.6,9.55,1.53,0.99,1.39,0.85,5.09,71.69,8.09,45.11,7.99,45.71,71.1
YUASA,"1,578,421.27","555,937.37","107,625.00","1,022,483.90","2,589,000.89","2,448,408.27","191,791.65","140,592.62","109,415.91",1.02,"142,647.05","-62,117.57","-35,270.56","45,258.92",11.15,9.23,21.72,4.23,5.43,0.54,169.59,2.52,1.8,6.3,1.7,6.66,54.8,6.78,53.84,5.19,70.38,38.25
ZIGA,"1,312,549.47","602,619.01","353,130.98","709,614.63","1,158,815.62","1,497,495.94","-283,919.46","-366,975.06","-380,881.84",-0.56,"240,111.87","-170,435.30","-161,986.39","-92,309.82",-44.67,-23.5,-0.15,-32.87,-31.67,0.85,-11.59,1.93,0.95,1.54,0.74,2.73,133.53,6.85,53.28,12.53,29.12,157.69
