symbol,Total_Asset,Total_Liabilities,Paid-up,Equity,Revenue,Expenses,EBITDA,EBIT,NetProfit,EPS,OperatingCashFlow,InvestingCashFlow,FinancingCashFlow,NetCashFlow,ReturnOnEquity,ReturnOnAsset,GrossProfitMargin,NetProfitMargin,EBITMargin,DE,Int.Coverage,CurrentRatio,QuickRatio,FixedAssetTurnover,TotalAssetTurnover,InventoryTurnover,AverageSalePeriod,AccountsReceivableTurnover,AverageCollectionPeriod,AccountPayableTurnover,AveragePaymentPeriod,CashCycle
BGT,"590,319.00","144,342.00","181,760.00","445,977.00","586,425.00","629,685.00","-12,617.00","-42,188.00","-42,029.00",-0.12,"-20,218.00","31,001.00","-18,638.00","-7,855.00",-9,-7.04,48.78,-7.17,-7.19,0.32,-25.74,2.99,0.65,3.07,0.98,1.44,252.78,23.55,15.5,5.19,70.31,197.98
BIZ,"1,656,571.56","1,012,192.19","200,000.00","587,258.24","732,999.09","617,823.30","124,070.34","116,179.57","91,461.78",0.23,"-158,088.21","-286,688.20","427,920.26","-16,856.15",15.92,8.94,25.43,11.02,15.85,1.57,15.42,1.59,0.54,2.68,0.56,1.15,318.4,3.24,112.55,2.01,181.4,249.55
BM,"1,113,222.45","421,250.79","220,000.00","691,971.66","913,337.87","830,863.84","99,960.38","57,222.34","36,010.37",0.08,"102,132.97","-108,448.04","8,724.64","2,409.58",5.21,5.21,21.66,3.94,6.27,0.61,6.48,0.97,0.65,1.48,0.83,6.92,52.78,4.19,87.09,3.89,93.78,46.1
BOL,"684,237.47","183,296.05","82,050.55","500,941.42","538,120.37","386,375.64","178,913.98","151,859.52","143,911.63",0.18,"225,748.31","-64,222.93","-147,646.63","13,878.76",28.61,22.05,58.08,26.74,28.22,0.37,N/A,2.54,2.26,14.97,0.78,N/A,-,2.99,122.07,1.68,217.25,-95.18
BROOK,"3,433,799.78","860,591.86","704,952.77","2,497,757.29","1,125,816.00","624,130.64","923,841.74","920,194.51","736,478.72",0.13,"988,603.98","66,176.68","-486,812.08","567,968.58",31.94,29.69,46.97,65.46,81.74,0.33,65.18,3.03,2.62,35.01,0.36,N/A,-,4.31,84.59,3.36,108.66,-24.07
BSM,"1,902,070.60","1,249,616.76","213,050.62","652,455.63","854,038.70","823,868.96","54,114.78","40,698.25","24,928.84",0.01,"-72,233.49","-352,852.24","272,460.95","-152,624.77",3.81,2.39,26.4,2.92,4.77,1.92,4.29,1.25,0.19,21.77,0.5,0.82,445.18,6.4,57.05,3.27,111.48,390.75
BTW,"1,920,790.31","801,726.31","378,000.00","1,118,921.49","1,440,994.76","1,622,018.29","-114,027.24","-181,023.52","-197,720.40",-0.26,"-295,898.34","-46,958.66","328,030.10","-14,826.90",-16.06,-9.88,-8.19,-13.8,-12.56,0.72,-11.66,1.63,0.58,2.31,0.79,4.81,75.88,3.94,92.56,8.47,43.08,125.36
CAZ,"1,487,602.74","993,327.32","140,000.00","491,020.48","2,040,650.53","1,929,896.33","155,560.78","110,754.20","75,461.40",0.27,"-222,736.31","-186,368.08","388,509.49","-20,594.90",23.26,8.4,8.97,3.68,5.43,2.01,7.23,0.97,0.25,4.61,1.55,25.43,14.35,10.31,35.39,6.03,60.48,-10.74
CHAYO,"1,824,821.17","822,870.58","314,999.99","987,355.50","317,910.78","168,785.39","154,627.05","149,125.39","111,427.41",0.18,"-349,203.16","-110,622.56","671,041.05","211,215.33",12.84,11.24,63.73,34.93,46.91,0.82,16.35,1.44,0.93,-,0.24,N/A,-,N/A,-,N/A,-,-
CHEWA,"6,404,309.99","4,663,864.29","1,275,027.88","1,740,445.70","1,154,367.47","1,194,392.46","-4,487.23","-45,072.25","-55,064.50",-0.04,"-1,919,182.80","-109,391.18","1,557,568.26","-471,005.72",-3.07,-0.83,26.77,-4.77,-3.9,2.68,-1.98,1.51,0.01,61.98,0.21,0.19,"1,934.31",76.55,4.77,3.87,94.32,"1,844.76"
CHO,"3,251,787.00","2,293,605.00","327,222.00","958,180.00","1,609,206.00","1,388,652.00","278,212.00","220,461.00","65,858.00",0.05,"456,122.00","-105,366.00","-341,536.00","9,220.00",7.13,6.4,21.57,4.09,13.7,2.39,1.51,1.22,0.34,1.46,0.47,1.62,225.98,1.73,210.64,3.72,98.23,338.38
CHOW,"10,281,004.54","9,132,907.78","800,000.00","1,035,785.22","1,366,196.70","1,320,404.45","627,137.01","233,785.02","-198,257.74",-0.25,"360,329.42","811,942.43","-2,221,944.33","-1,049,672.47",-16.8,1.99,18.04,-14.37,17.11,7.95,0.56,0.71,0.55,0.21,0.12,1.86,196.25,1.74,210.14,2.32,157.54,248.85
CIG,"1,021,746.14","528,610.67","432,393.39","493,135.47","1,555,747.35","1,730,581.88","-137,760.29","-195,938.40","-198,572.98",-0.23,"-157,773.38","110,244.99","36,866.61","-10,661.78",-32.95,-17.79,4.19,-12.76,-12.59,1.07,-10.25,1.01,0.46,3.67,1.41,9.26,39.42,7.41,49.27,5.26,69.44,19.25
CMC,"5,196,586.18","2,586,191.49","1,000,000.00","2,610,394.70","1,429,291.60","1,325,364.54","130,229.57","103,927.06","24,144.06",0.02,"139,484.03","40,249.45","-236,498.27","-56,764.79",0.92,1.99,38.56,1.69,7.27,0.99,1.87,2.78,0.14,6.48,0.27,0.25,"1,466.65",16.66,21.9,2.89,126.27,"1,362.29"
CMO,"1,185,752.20","629,596.82","255,462.73","524,830.04","1,369,526.72","1,271,595.93","251,614.26","143,645.23","98,612.73",0.39,"147,920.08","-36,697.59","-99,202.68","12,019.81",19.58,12.26,21.02,8.01,10.49,1.13,6.45,0.75,0.71,2.19,1.17,69.18,5.28,4.17,87.57,5.78,63.16,29.69
COLOR,"1,260,302.50","518,477.97","588,964.62","741,824.53","1,058,565.90","1,019,437.92","98,285.52","39,127.98","27,940.57",0.05,"94,264.73","-43,346.20","-48,376.74","2,541.79",3.78,3.05,17.96,2.64,3.7,0.7,2.92,1.09,0.51,1.47,0.83,3.2,114.2,4.5,81.05,5.02,72.68,122.56
COMAN,"537,964.03","71,436.99","67,000.00","438,805.00","205,261.23","189,465.86","23,769.40","15,795.36","2,315.28",0.02,"32,468.01","-148,316.30","-17,799.47","-133,647.75",0.52,2.99,54.28,5.57,7.7,0.15,"2,430.06",8.76,8.56,39.96,0.39,37.16,9.82,8.11,44.99,2.4,152.06,-97.25
CPR,"636,490.44","89,969.58","199,000.00","539,216.71","578,199.08","490,717.52","117,671.09","90,683.96","72,969.24",0.37,"93,516.94","-22,803.15","-285,068.58","-214,354.79",11.31,12.16,20.03,12.68,15.68,0.16,447.78,4.96,3.82,3.99,0.78,6.03,60.56,5.18,70.52,6.92,52.72,78.36
CRD,"956,984.74","508,955.01","250,000.00","448,029.73","1,388,707.20","1,407,323.24","1,101.24","-17,262.56","-22,240.36",-0.04,"-148,020.25","22,247.35","110,781.61","-14,991.29",-4.76,-1.85,0.54,-1.6,-1.24,1.14,-2.04,1.38,0.79,8.83,1.49,25.42,14.36,4.8,76.04,7.03,51.9,38.5
D,"1,076,295.39","687,252.56","100,000.00","389,038.33","781,475.56","777,355.00","41,223.81","4,120.56","-15,587.39",-0.08,"23,561.40","-144,691.14","106,670.23","-14,459.51",-3.93,0.41,28.38,-1.99,0.53,1.77,0.25,0.73,0.27,1.34,0.77,3.11,117.2,7.53,48.44,4.63,78.86,86.78
DIMET,"397,467.73","174,164.89","268,953.80","223,302.84","326,427.20","432,660.02","-102,076.52","-106,232.82","-115,860.94",-0.23,"24,936.41","-14,250.40","2,001.85","12,687.87",-41.2,-25.74,22.77,-35.49,-32.54,0.78,-399.63,1.37,0.82,7.56,0.79,7.19,50.79,3.68,99.2,3.11,117.34,32.64
DOD,"1,574,612.89","336,349.96","205,000.00","1,219,355.05","797,499.61","709,709.28","142,262.42","87,790.33","86,706.95",0.21,"-42,766.43","63,943.67","-75,557.60","-54,380.36",7.21,5.89,51.89,9.22,11.01,0.27,9.19,1.52,1.09,1.49,0.54,5.46,66.82,5.2,70.16,2.25,162.21,-25.23
DV8,"532,981.33","45,956.38","1,430,416.19","487,024.95","55,051.33","220,709.51","-266,407.47","-272,827.20","-272,971.03",-0.26,"-176,365.95","-249,080.70","420,348.60","-5,098.05",-64.8,-57.24,-4.48,-495.85,-495.59,0.09,"-1,896.74",12.24,11.91,3.23,0.12,3.39,107.54,0.52,700.19,4.08,89.44,718.3
ECF,"3,590,973.96","2,136,564.92","239,871.89","1,434,042.01","1,290,556.12","1,144,372.93","231,758.06","157,284.40","40,285.62",0.04,"-58,893.50","-95,836.41","106,431.51","-48,298.40",2.82,4.5,29.46,3.04,12.19,1.47,1.36,1.1,0.25,2.74,0.37,0.69,526.33,3.71,98.38,3.13,116.74,507.98
EFORL,"2,443,685.00","2,548,258.00","2,416,264.00","324,140.00","1,994,081.00","2,552,121.00","-456,635.00","-558,040.00","-272,672.00",-0.01,"34,977.00","-44,777.00","-34,929.00","-44,729.00",-71.14,-19.72,30.19,-29.62,-27.98,-,-6.77,0.55,0.25,5.4,0.7,2.2,165.84,3.01,121.25,1.92,190.42,96.68
ETE,"2,190,315.83","1,363,313.65","280,000.00","820,850.69","1,845,273.05","1,753,366.64","139,817.53","91,906.41","28,606.51",0.05,"-15,809.03","-26,764.78","37,819.83","-4,753.98",3.54,4.26,11.34,1.73,4.98,1.65,1.77,1.25,1.12,1.84,0.85,17.72,20.6,2.42,150.61,6.11,59.73,111.47
FLOYD,"506,621.95","77,189.64","180,000.00","429,432.31","374,541.07","334,459.09","42,748.29","40,081.98","32,861.15",0.09,"44,672.55","-37,057.09","-36,000.54","-28,385.08",7.63,7.44,21.7,8.77,10.7,0.18,N/A,5.87,5.34,4.36,0.7,25.78,14.16,7.37,49.52,3.36,108.6,-44.92
FPI,"2,758,070.28","1,142,509.10","378,257.48","1,615,561.18","2,072,182.81","1,824,083.80","455,263.88","243,802.35","186,789.93",0.13,"419,464.89","-293,832.89","-28,684.28","96,947.73",11.34,9.18,19.83,9.01,11.77,0.71,11.76,1.33,0.9,1.99,0.78,3.92,93.19,2.91,125.34,5.79,63.03,155.51
FSMART,"3,520,174.79","2,184,602.91","400,000.00","1,330,448.47","3,419,245.66","2,716,956.81","1,236,302.77","702,288.85","584,226.39",0.75,"968,068.38","-241,956.48","-804,267.34","-78,155.44",45.36,18.89,20.3,17.06,20.54,1.64,16.95,0.64,0.12,1.58,0.92,29.01,12.58,N/A,-,3.64,100.22,-87.64
FVC,"772,518.57","361,952.16","282,571.27","395,554.94","822,410.15","1,039,925.91","-189,946.06","-217,515.75","-252,266.29",-0.45,"28,961.94","-25,142.58","-3,582.99",236.35,-47.96,-25.19,22.21,-30.64,-26.45,0.88,-17.41,1.56,0.85,2.74,0.95,3.63,100.46,3.73,97.92,4.31,84.7,113.69
GCAP,"2,716,528.85","2,167,101.88","150,000.00","549,426.97","358,631.56","171,843.53","188,592.55","182,862.68","53,080.60",0.19,"-342,568.28","-34,850.54","602,456.22","225,037.40",11.82,7.61,66.67,14.8,50.99,3.94,1.57,1.24,0.25,-,0.15,N/A,-,N/A,-,N/A,-,-
GSC,"248,332.00","16,290.00","125,000.00","232,042.00","146,635.00","133,665.00","17,746.00","13,947.00","12,302.00",0.05,"9,917.00","-142,168.00","134,033.00","1,782.00",7.75,7.96,31.51,8.39,9.51,0.07,"1,267.91",19.42,18.94,22.08,0.84,N/A,-,5.06,72.2,"12,794.39",0.03,72.17
GTB,"1,127,770.57","380,472.81","240,000.00","747,296.69","1,409,426.70","1,309,240.56","128,690.86","99,949.66","82,527.16",0.09,"101,649.91","-10,119.01","-14,929.42","76,601.49",12.18,10.08,16.39,5.86,7.09,0.51,48.22,2.21,1.06,5.85,1.42,11.52,31.68,8.58,42.53,5.89,61.93,12.28
GTV,"2,669,927.88","145,546.95","3,335,000.09","2,524,170.40","76,866.43","126,978.11","-37,425.93","-59,366.58","-63,688.36",-0.01,"-436,972.59","362,298.72","-5,354.27","-80,028.15",-2.49,-2.18,49.24,-83.04,-77.23,0.06,-124.7,16.73,11.96,0.17,0.03,0.05,"7,832.48",0.08,"4,325.23",0.19,"1,874.68","10,283.02"
HARN,"1,596,297.52","274,635.15","292,250.00","1,321,662.37","1,393,974.10","1,207,028.82","218,567.88","186,945.27","149,619.40",0.26,"150,996.41","40,366.35","-93,519.94","97,842.82",11.56,11.89,30.59,10.73,13.41,0.21,N/A,3.98,2.54,44.01,0.89,3.11,117.25,4.55,80.2,4.69,77.83,119.61
HEALTH,"95,135.45","92,617.73","977,753.68","2,504.59","147,668.93","202,575.29","-30,079.45","-44,156.29","-44,776.50",-0.05,"-5,994.51","27,089.21","-2,895.51","18,199.19",-179.88,-36.69,17.11,-30.32,-29.9,36.79,-71.2,0.78,0.37,2.83,1.23,2.4,151.9,55.82,6.54,1.51,241.38,-82.93
HPT,"295,586.67","43,768.59","138,124.83","251,074.46","198,088.02","185,173.72","30,399.76","12,914.30","12,658.63",0.02,"25,898.23","-13,779.27","-4,417.85","7,701.11",5.06,4.48,28.84,6.42,6.52,0.17,24.08,3.81,1.52,1.18,0.69,1.89,192.73,6.4,56.99,5.31,68.7,181.02
HYDRO,"408,605.80","434,671.33","784,968.76","-26,385.82","280,421.41","551,609.13","-267,061.84","-274,277.33","-277,589.81",-0.35,"-39,792.45","33,718.65","-6,328.75","-12,402.55",-246.48,-31.3,-17.27,-105.55,-97.81,-,-10.89,0.68,0.52,2.72,0.32,33.73,10.82,1.67,218.29,1.64,223.21,5.9
ICN,"1,207,114.66","634,000.91","225,000.00","552,038.78","1,201,266.20","1,082,888.05","122,958.79","118,378.15","93,674.48",0.21,"-128,175.48","1,005.60","61,604.99","-65,564.90",17.49,11.49,15.87,7.85,9.85,1.11,N/A,1.71,0.87,163.69,1.17,9.32,39.18,5.95,61.38,2.81,129.71,-29.15
IMH,"535,156.15","83,564.63","107,500.00","451,591.52","336,111.30","321,932.71","33,304.91","14,678.59","10,498.57",0.07,"26,776.96","-171,163.84","210,059.52","65,672.64",3.4,3.56,29.7,3.12,4.37,0.19,3.84,5.35,5.08,2.36,0.81,31.01,11.77,2.71,134.7,4.7,77.69,68.78
INSET,"1,044,632.69","264,319.72","280,000.00","780,312.98","1,219,965.78","1,071,310.32","151,894.97","148,655.46","120,121.21",0.27,"61,226.87","-298,956.06","286,638.70","48,909.51",21.08,18,17.49,9.85,12.19,0.34,116.97,4.25,3.06,18.02,1.48,N/A,-,10.8,33.79,5.45,67.01,-33.21
IP,"525,877.69","60,134.88","103,000.00","455,709.20","375,883.60","314,115.13","63,610.74","61,543.55","43,471.52",0.28,"5,034.33","-2,045.36","307,208.29","310,197.26",15.63,17.14,57.61,12.54,16.37,0.13,104.42,8.98,8.08,36.84,1.05,3.02,120.98,3.8,96.17,3.06,119.12,98.02
IRCP,"1,079,397.73","887,924.35","254,299.75","211,065.87","952,592.59","993,427.15","-32,348.43","-43,442.46","-101,485.87",-0.4,"-65,416.06","-8,650.45","-76,621.21","-150,687.72",-39.2,-3.81,16.83,-10.98,-4.56,4.64,-1.4,0.72,0.55,40.46,0.84,11.4,32.03,2.46,148.13,2.75,132.78,47.38
ITEL,"6,621,866.72","4,910,166.91","500,000.00","1,711,699.81","2,346,593.42","1,976,935.22","608,312.73","359,571.32","181,000.09",0.18,"-329,782.06","-623,042.91","1,000,646.48","47,821.52",10.94,5.97,20.12,7.71,15.32,2.87,2.75,0.74,0.21,0.63,0.39,17.24,21.18,6.05,60.28,2.16,168.8,-87.33
JCKH,"698,491.85","617,174.91","156,319.42","81,316.94","1,397,250.98","1,539,170.56","-83,380.50","-141,919.59","-158,403.79",-0.25,"-117,898.66","-47,711.44","156,511.38","-9,098.73",-141.65,-22.3,51.49,-11.34,-10.16,7.59,-10.19,0.23,0.12,3.48,2.2,17.3,21.09,39.68,9.2,2.7,135.22,-104.93
JKN,"4,005,661.83","1,790,589.52","270,000.00","2,215,072.31","1,710,751.03","1,297,819.47","1,368,748.07","412,931.56","252,813.65",0.42,"461,506.51","-973,804.45","503,354.24","-8,943.70",11.84,11.38,41.05,14.78,24.14,0.81,4.36,1.47,1.41,27.59,0.47,335.59,1.09,1.16,315.91,7.48,48.77,268.22
JUBILE,"1,488,299.40","428,673.41","174,273.13","1,059,625.98","1,820,271.39","1,493,142.00","348,616.11","327,129.40","262,208.88",1.5,"336,785.55","-125,448.52","-132,443.92","78,893.11",26.36,23.97,46.63,14.4,17.97,0.4,"11,176.27",3.14,1.58,26.54,1.33,1.57,232,15.13,24.13,3.4,107.28,148.85
K,"906,728.45","614,686.64","119,999.78","292,041.81","1,009,610.52","1,189,091.66","-160,341.33","-178,677.24","-152,243.97",-0.63,"24,470.23","-68,741.01","2,577.96","-41,692.82",-40,-16.48,-5.4,-15.08,-17.7,2.1,-18.89,0.93,0.43,9.62,0.93,292.42,1.25,4.72,77.31,2.65,137.75,-59.2
KASET,"641,164.02","316,122.17","278,000.00","325,041.85","867,666.79","900,112.16","-9,070.22","-26,185.10","-31,064.95",-0.11,"120,297.36","-43,014.66","-37,961.48","39,321.22",-8.98,-3.8,10.43,-3.58,-3.02,0.97,-5.37,1.37,0.65,4.13,1.26,3.1,117.71,5.18,70.43,9.2,39.69,148.45
KCM,"558,161.09","109,686.35","170,000.00","448,474.46","347,419.26","355,940.45","14,936.19","-9,032.09","-11,185.11",-0.02,"24,393.28","-16,087.67","-4,637.37","3,668.23",-2.46,-1.6,24.24,-3.22,-2.6,0.24,-3.24,1.3,0.33,1.42,0.62,2.55,143.2,15.11,24.16,10.6,34.42,132.94
KGEN,"691,126.54","259,241.80","535,436.81","431,884.72","492,823.83","78,513.82","483,004.83","414,310.01","405,245.04",0.76,"-3,659.09","-126,854.91","38,555.95","-91,958.04",173.72,59.07,12.08,82.23,84.07,0.6,45.7,0.94,0.68,6.13,0.7,"3,992.47",0.09,4.85,75.29,7.91,46.13,29.25
KIAT,"1,226,217.38","104,011.99","280,946.34","1,118,447.20","955,190.04","816,926.24","273,886.31","138,263.80","110,096.66",0.04,"288,818.03","-87,791.18","-65,197.82","135,829.02",10.09,11.41,30.22,11.64,14.48,0.09,88.89,7.75,6.95,1.63,0.79,9.21,39.63,5.33,68.44,12.26,29.76,78.31
KOOL,"481,888.76","284,792.10","120,000.00","197,096.66","712,527.22","670,343.02","63,226.57","42,184.20","30,967.76",0.06,"88,955.60","-13,779.34","-64,179.55","10,996.71",16.95,8.97,29.58,4.35,5.92,1.44,4.18,1.27,0.52,13.06,1.52,2.61,139.89,6.73,54.27,7.08,51.55,142.6
KUMWEL,"573,759.40","89,014.26","215,000.00","484,745.14","437,972.81","404,051.69","50,335.03","33,921.12","23,396.27",0.06,"44,299.95","-147,337.48","129,574.99","26,537.46",5.6,6.68,35.43,5.34,7.75,0.18,10.45,9.66,4.46,2.87,0.86,1.62,225.5,4.58,79.65,11.03,33.09,272.07
KUN,"940,408.06","481,359.08","300,000.00","457,782.09","652,669.51","578,786.45","81,453.44","73,883.06","56,312.35",0.12,"-20,817.99",-745.54,"74,272.32","52,708.80",14.98,8.4,27.63,8.68,11.32,1.05,25.6,2.13,0.16,9.74,0.74,0.8,458.59,228.65,1.6,3.55,102.91,357.28
KWM,"429,189.69","84,157.71","210,000.00","345,024.33","341,929.70","310,202.78","58,569.93","31,726.92","27,047.97",0.06,"48,259.36","-18,084.34","-55,413.01","-25,237.99",7.86,7.15,21.88,7.91,9.28,0.24,10.27,3.4,1.72,1.92,0.77,2.25,162.09,5.29,68.97,12.72,28.7,202.36
LDC,"340,247.72","86,369.51","150,000.00","253,878.20","548,293.74","580,717.86","1,912.22","-32,424.12","-27,088.80",-0.05,"22,650.02","-21,967.08","-11,843.44","-11,160.50",-10.13,-9.01,9.79,-4.94,-5.91,0.34,-103.75,1.36,1.11,3.81,1.52,27.21,13.42,58.71,6.22,6.02,60.59,-40.96
LIT,"3,550,745.31","2,418,185.91","221,449.46","1,132,559.03","456,603.37","241,245.68","246,301.44","215,357.69","103,097.28",0.47,"17,306.85","-717,270.02","830,026.51","130,063.34",9.1,6.07,71.25,22.58,47.17,2.14,2.56,2.33,0.18,-,0.13,N/A,-,N/A,-,N/A,-,-
MBAX,"1,177,593.39","672,415.59","191,895.14","505,177.81","1,440,184.15","1,389,316.87","126,350.32","67,499.34","50,977.05",0.27,"137,196.31","-75,469.97","-47,072.52","14,653.81",9.89,5.82,10.47,3.54,4.69,1.33,6.34,0.91,0.57,2.55,1.24,6.67,54.7,4.84,75.39,7.26,50.28,79.81
META,"4,813,231.02","2,865,893.69","1,275,137.24","1,865,429.60","802,779.58","806,322.84","-3,929.62","-12,120.24","-54,036.78",-0.04,"1,087.77","-96,972.50","90,860.73","-5,024.00",-2.78,-0.26,7.71,-7.63,-1.51,1.47,-0.25,1.41,0.87,27.73,0.18,N/A,-,0.33,"1,114.79",0.35,"1,057.75",57.04
MGT,"499,936.04","62,192.56","200,000.00","403,255.17","681,783.24","587,269.82","103,883.46","94,513.41","71,502.41",0.18,"130,190.84","-38,267.64","-95,783.33","-3,860.14",18.35,18.51,30.98,11.03,13.86,0.14,113.69,6.68,5.07,6.71,1.34,5.76,63.41,4.25,85.91,14.1,25.89,123.43
MITSIB,"1,338,681.54","609,199.62","333,500.00","729,481.33","469,484.96","359,000.18","116,138.51","109,438.77","65,985.73",0.11,"-39,060.34","-12,702.52","57,807.77","6,044.92",9.05,8.18,31.74,14.05,23.31,0.84,3.67,1.05,0.05,-,0.35,N/A,-,N/A,-,N/A,-,-
MOONG,"1,009,934.80","230,666.73","168,639.63","779,268.07","804,846.74","810,862.52","110,205.09","96,498.17","88,365.98",0.52,"-12,808.06","71,290.87","-47,991.09","10,491.72",11.66,9.83,42.55,10.98,11.99,0.3,264.43,1.77,1.33,24.29,0.82,5.11,71.4,3.72,98.19,2.29,159.69,9.9
MORE,"509,755.70","165,531.83","326,543.58","325,843.51","40,312.95","55,745.03","-13,683.26","-15,432.08","-15,771.21",-,"-52,420.28","-233,885.66","-1,626.46","-287,932.40",-4.72,-2.97,42.26,-45.18,-38.28,0.48,-5.57,0.61,0.31,3.61,0.08,0.1,"3,805.97",0.26,"1,407.80",0.12,"3,109.94","2,103.83"
MUD,"4,210,286.63","1,514,416.08","1,054,903.75","2,700,598.04","3,059,774.52","3,046,673.48","221,261.93","13,101.03","-18,936.90",-0.02,"168,428.95","-155,004.96","-76,673.42","-63,249.44",-0.69,0.31,58.84,-0.83,0.43,0.56,0.35,0.85,0.51,5.35,0.72,6.79,53.77,25.43,14.35,3.12,116.96,-48.84
MVP,"358,683.98","193,011.19","100,000.00","166,079.75","334,416.13","295,050.30","51,249.40","39,354.83","30,194.70",0.15,"-37,351.88","5,339.34","4,853.00","-27,159.55",19.88,11.46,32.55,8.91,11.77,1.17,17.24,1.74,1.61,4,0.97,37.57,9.72,1.95,186.91,2.32,157.25,39.38
NCL,"812,538.21","502,961.91","113,538.06","284,709.82","1,281,696.82","1,288,642.27","45,292.79","21,317.18","11,064.49",0.02,"10,047.79","-7,834.67","6,040.65","8,253.78",3.96,2.75,20.2,0.91,1.66,1.62,1.68,0.84,0.75,5.11,1.65,296.88,1.23,4.8,76.05,6.23,58.61,18.67
NDR,"1,061,353.87","358,686.85","315,391.51","701,804.12","857,258.22","873,025.95","35,214.74","-11,159.75","-19,542.60",-0.06,"42,254.75","-68,234.68","-20,199.24","-46,179.17",-2.67,-0.98,17.8,-2.32,-1.3,0.51,-1.3,1.12,0.65,1.35,0.75,5.42,67.33,6.86,53.21,7.46,48.93,71.6
NETBAY,"647,221.94","147,524.45","200,000.00","499,697.49","422,218.74","241,173.52","191,150.06","180,979.97","179,077.42",0.9,"177,729.76","-24,627.96","-151,119.47","1,982.33",36.86,28.78,80.38,42.41,42.86,0.3,N/A,3.45,3.35,12.3,0.67,309.33,1.18,6.58,55.51,8,45.6,11.09
NEWS,"706,054.61","138,094.66","67,887,512.23","567,959.95","438,396.75","601,119.26","-122,481.22","-162,722.51","496,286.86",0.01,"-140,785.74","869,884.66","-573,402.93","155,695.99",133.58,-17.67,24.45,112.47,-37.12,0.24,-5.59,3.7,3.38,4.93,0.48,96.32,3.79,2.77,131.76,1.1,333.07,-197.52
NPK,"496,098.01","64,634.12","100,000.00","431,463.89","344,532.47","323,953.34","35,010.44","20,579.13","14,454.13",1.45,"58,514.67","-14,331.61","-34,961.89","9,221.16",3.39,4.09,15.25,4.2,5.97,0.15,18.45,5.8,3.79,1.35,0.69,4.01,91,3.76,96.96,10.66,34.22,153.74
OTO,"975,037.04","107,530.39","280,000.00","867,506.65","790,528.04","754,841.75","73,032.78","35,686.29","33,008.87",0.12,"129,144.36","-471,189.12","-19,600.00","-361,644.76",3.84,3.72,11.13,4.18,4.51,0.12,283.22,9.68,8.06,11.15,0.82,172.53,2.12,3.83,95.35,10.63,34.34,63.12
PDG,"670,176.90","93,217.19","135,000.00","576,959.71","676,624.45","591,744.86","142,587.49","84,879.59","65,877.68",0.24,"137,671.05","-48,950.43","-53,649.14","35,071.49",11.54,12.52,21.46,9.74,12.54,0.16,301.43,5.03,4.22,2.32,1,8.18,44.62,5.85,62.41,6.48,56.29,50.74
PHOL,"567,147.00","266,159.00","202,500.00","302,291.00","916,700.00","861,180.00","71,802.00","58,736.00","41,419.00",0.2,"128,618.00","7,111.00","-107,216.00","28,513.00",14.37,9.63,25.88,4.52,6.41,0.88,11.37,1.82,1.04,8.54,1.5,3.63,100.42,6.05,60.33,4.92,74.19,86.56
PICO,"864,718.00","440,121.00","215,625.00","420,980.00","1,481,959.47","1,438,924.55","65,656.72","44,892.44","31,636.47",0.14,"-66,650.60","-12,194.50","-78,106.45","-156,951.55",7.29,4.91,24.33,2.27,3.03,1.04,70.9,1.93,1.38,11.7,1.62,N/A,-,7.23,50.49,3.74,97.71,-47.23
PIMO,"644,891.36","190,046.24","154,116.42","454,845.12","663,782.36","630,788.60","57,028.03","32,993.76","28,476.96",0.05,"38,664.95","-160,961.68","126,002.21","3,705.47",7.34,6,16.49,4.29,4.97,0.42,30.57,2.85,1.95,3.16,1.21,4.46,81.86,5,73.07,4.47,81.57,73.35
PJW,"2,947,042.47","1,931,486.18","287,039.97","1,015,556.29","3,155,524.06","3,037,418.44","308,023.45","118,105.61","63,328.78",0.11,"55,684.38","-274,243.63","125,554.39","-93,004.87",6.23,4.05,10.06,2.01,3.74,1.9,2.13,0.76,0.47,1.89,1.08,8.57,42.59,4.33,84.25,5.06,72.19,54.65
PLANET,"893,864.33","481,826.33","250,000.00","412,038.00","849,208.76","829,907.37","48,703.95","19,301.39",-996.59,-,"-125,546.11","40,989.22","92,902.91","8,346.03",-0.24,2.26,18.6,-0.12,2.27,1.17,1.16,1.42,1.07,5.29,0.99,8.8,41.48,2.31,158.18,7.65,47.68,151.97
PPM,"1,601,975.98","740,776.46","211,000.05","859,232.22","1,667,354.67","1,654,045.99","86,544.41","28,288.50","9,911.42",0.02,"221,143.46","-41,491.39","-175,009.75","4,642.32",1.15,1.68,12.02,0.26,1.7,0.86,1.41,1.4,0.53,3.26,0.99,2.2,165.69,5.19,70.39,10.12,36.08,200
PPS,"428,419.80","114,736.75","214,963.79","313,083.61","466,751.13","461,703.48","12,352.19","5,915.02","7,435.35",0.01,"-63,156.49","40,073.37","-6,567.75","-29,650.87",2.35,1.42,23.23,0.78,1.27,0.37,27.5,5.9,3.91,20.45,1.12,51.93,7.03,2.89,126.09,7.23,50.51,82.62
PROUD,"1,720,407.86","982,404.08","641,469.33","738,003.78","114,655.62","145,301.44","-34,791.02","-36,082.22","-40,086.51",-0.08,"-1,396,063.62","57,331.54","1,433,319.66","94,587.57",-9.29,-3.54,35.95,-34.96,-31.47,1.33,-6.54,7.33,0.45,14.72,0.11,0.07,"5,440.95",4.5,81.19,1.7,214.71,"5,307.43"
