symbol,Total_Asset,Total_Liabilities,Paid-up,Equity,Revenue,Expenses,EBITDA,EBIT,NetProfit,EPS,OperatingCashFlow,InvestingCashFlow,FinancingCashFlow,NetCashFlow,ReturnOnEquity,ReturnOnAsset,GrossProfitMargin,NetProfitMargin,EBITMargin,DE,Int.Coverage,CurrentRatio,QuickRatio,FixedAssetTurnover,TotalAssetTurnover,InventoryTurnover,AverageSalePeriod,AccountsReceivableTurnover,AverageCollectionPeriod,AccountPayableTurnover,AveragePaymentPeriod,CashCycle
TPCH,"8,688,264.99","4,637,655.00","401,200.00","2,967,462.50","1,789,278.40","1,281,191.63","736,408.18","513,921.27","250,953.26",0.63,"874,380.40","-862,126.31","-32,959.22","-20,705.12",8.7,6.23,34.78,23.78,28.72,1.14,5.86,0.52,0.39,0.27,0.22,50.22,7.27,3.27,111.73,3,121.75,-2.76
TPLAS,"373,733.97","62,149.14","135,000.00","311,584.83","473,729.11","431,017.40","57,182.65","42,864.79","34,592.49",0.13,"44,269.54","-11,108.49","-28,218.72","4,942.33",11.26,11.78,20.44,7.3,9.05,0.2,381.7,3.66,2.65,2.52,1.3,10.13,36.03,8.89,41.06,10.98,33.25,43.84
TPS,"615,623.74","235,928.61","140,000.00","377,039.40","737,948.27","668,194.14","79,911.44","69,754.13","53,917.44",0.19,"36,805.82","-21,580.58","-90,648.78","-75,423.54",14.25,11.19,29.45,7.3,9.45,0.62,69.12,2.12,1.72,5.07,1.18,11.17,32.68,4.73,77.15,3.43,106.27,3.56
TRT,"3,338,183.04","2,278,282.66","308,008.27","1,083,201.54","2,566,316.12","2,474,307.58","180,124.51","88,287.18","11,917.08",0.04,"-83,603.35","-14,616.55","-140,912.37","-239,132.27",1.09,2.63,18.1,0.33,3.44,2.15,1.34,1.33,0.84,3.05,0.76,2.26,161.46,3.11,117.34,4.27,85.44,193.37
TSF,"132,032.84","786,848.62","690,804.65","-654,815.78","60,657.39","111,708.50","-26,558.11","-51,051.11","-51,672.16",-0.01,"-17,415.19","18,000.06","5,203.34","5,788.22",-,-30.09,-96.92,-85.19,-84.16,-,-82.2,0.06,0.04,1.28,0.36,N/A,-,0.75,483.82,0.35,"1,033.50",-549.68
TURTLE,"379,883.61","70,231.47","365,549.29","269,873.00","80,570.26","109,093.57","-15,919.57","-28,523.30","-26,441.50",-0.07,"-16,389.11","-63,918.15","-3,151.03","-83,458.29",-9.72,-8.17,25.9,-32.74,-35.4,0.23,-21.57,5.75,5.23,7.98,0.23,3.61,101.08,1.77,205.83,2.03,179.98,126.93
TVDH,"1,282,905.93","563,703.97","383,333.02","698,525.95","3,736,948.90","3,675,245.52","349,418.58","52,822.31","28,336.02",0.04,"144,817.19","48,204.09","-195,508.14","-2,486.85",4.34,3.87,42.46,0.79,1.41,0.78,10.73,1.2,0.84,8.53,2.74,12.12,30.11,19.51,18.71,4.57,79.95,-31.13
TVT,"706,529.16","97,423.37","200,007.52","608,527.40","295,373.08","293,432.05","17,494.74","1,833.03","-3,703.14",-,"29,261.45","-22,810.90","-2,102.51","4,348.04",-0.61,0.25,27.5,-1.52,0.62,0.16,1.47,2.57,1.51,0.75,0.4,4.29,85.01,3.66,99.68,3.69,98.84,85.85
UBIS,"836,261.92","361,444.02","227,999.99","474,817.90","1,030,643.44","898,791.94","160,931.83","143,352.28","120,016.58",0.53,"139,974.07","-23,126.74","-59,994.43","56,852.90",26.01,18.3,34.76,11.64,13.91,0.76,35.97,1.71,1.07,4.4,1.32,3.79,96.4,3.36,108.69,4.41,82.76,122.33
UEC,"1,474,853.00","159,391.00","142,628.00","1,315,462.00","798,648.00","757,043.00","87,246.00","42,647.00","35,875.00",0.06,"129,518.00",507,"-29,249.00","100,776.00",2.73,2.81,15.33,4.49,5.34,0.12,341.18,9.24,5.88,1.45,0.53,4.3,84.95,5.55,65.73,6.91,52.79,97.88
